id,location_id,attention,address_1,address_2,address_3,address_4,city,region,state_province,postal_code,country
6274,,,"No Street Address Available",,,,Champaign,Champaign,IL,61826,231
6275,,,"1701 N. Bowman Avenue",,,,Danville,Vermilion,IL,61832,231
6276,,,"610 N. 7th Street",,,,Springfield,Sangamon,IL,62702,231
6277,,,"5230 S. Sixth Street Road",,,,Springfield,Sangamon,IL,62703,231
6278,,,"806 S. College Street",,,,Springfield,Sangamon,IL,62703,231
6279,,,"4243 Lincolnshire Drive",,,,"Mount Vernon",Jefferson,IL,62864,231
6280,,,"Eastern Regional Office",,,,Champaign,Champaign,IL,61820,231
6281,,,"1 W. Old State Capital Plaza, Suite 816",,,,Springfield,Sangamon,IL,62701,231
6282,,,"Byerly Aviation, Suite 302",,,,Peoria,Peoria,IL,61607,231
6283,,,"905 S. Goodwin Avenue",,,,Urbana,Champaign,IL,61801,231
6284,,,"1115 N. State Street, Room 124",,,,Monticello,Piatt,IL,61856,231
6285,,,"206 N. Randolph Street, M102",,,,Champaign,Champaign,IL,61821,231
6286,,,"3656 N. Halsted",,,,Chicago,Cook,IL,60613,231
6287,,,"100 N. First Street, W-101",,,,Springfield,Sangamon,IL,62777,231
6288,,,"17 N. State Street, Suite 650",,,,Chicago,Cook,IL,60602,231
6289,,,"701 Lee Street, Suite 670",,,,"Des Plaines",Cook,IL,60016,231
6290,,,"No Street Address Available",,,,Torrance,"Los Angeles",CA,90510,231
6291,,,"100 Morrissey Boulevard, 3rd Floor",,,,Boston,Suffolk,MA,21253393,231
6292,,,"1016 W. Pershing",,,,Decatur,Macon,IL,62526,231
6293,,,"2110 W. Park Court, Suite A",,,,Champaign,Champaign,IL,618212986,231
6294,,,"4501 N. Sterling Avenue, Suite 101",,,,Peoria,Peoria,IL,61615,231
6295,,,"1720 Philo Road",,,,Urbana,Champaign,IL,61801,231
6296,,,"810 7th Street NW",,,,Washington,"District of Columbia",DC,20531,231
6297,,,"101 S. Country Fair Drive",,,,Champaign,Champaign,IL,61821,231
6298,,,"No Street Address Available",,,,Champaign,Champaign,IL,61820,231
6299,,,"1905 W. Springfield Avenue",,,,Champaign,Champaign,IL,61821,231
6300,,,"205 E. Wilber Avenue",,,,Champaign,Champaign,IL,61824,231
6301,,,"153 N. Vermilion Street",,,,Danville,Vermilion,IL,61832,231
6302,,,"1317 E. Florida Avenue",,,,Urbana,Champaign,IL,618016007,231
6303,,,"812 N. Logan Avenue",,,,Danville,Vermilion,IL,61832,231
6304,,,"No Street Address Available",,,,Urbana,Champaign,IL,61801,231
6305,,,"819 Bloomington Road",,,,Champaign,Champaign,IL,61820,231
6306,,,"No Street Address Available",,,,Champaign,Champaign,IL,61821,231
6307,,,"1911 E. Main Street",,,,Urbana,Champaign,IL,61802,231
6308,,,"400 S. Art Bartell Road",,,,Urbana,Champaign,IL,61802,231
6309,,,"500 S. Art Bartell Road",,,,Urbana,Champaign,IL,61802,231
6310,,,"201 W. Springfield Avenue, Suite 702",,,,Champaign,Champaign,IL,61820,231
6311,,,"201 W. Kenyon Road",,,,Champaign,Champaign,IL,61820,231
6312,,,"1311 W. Church Street",,,,Champaign,Champaign,IL,61821,231
6313,,,"504 E. Pennsylvania Avenue, Room 241",,,,Champaign,Champaign,IL,61820,231
6314,,,"201 W. Kenyon Road, Suite 4D",,,,Champaign,Champaign,IL,61820,231
6315,,,"610 E. John Street",,,,Champaign,Champaign,IL,61820,231
6316,,,"2202 E. Washington Street",,,,Urbana,Champaign,IL,61802,231
6317,,,"116 N First Street",,,,Champaign,Champaign,IL,61820,231
6318,,,"2400 W. Bradley Avenue, Room L148",,,,Champaign,Champaign,IL,61821,231
6319,,,"1400 W. Park Street",,,,Urbana,Champaign,IL,61801,231
6320,,,"1304 W. Bradley Avenue",,,,Champaign,Champaign,IL,61821,231
6321,,,"303 W. Kirby Avenue",,,,Champaign,Champaign,IL,61820,231
6322,,,"208 W. University Avenue",,,,Champaign,Champaign,IL,61820,231
6323,,,"1400 W Park St",,,,Urbana,Champaign,IL,61801,231
6324,,,"1502 E. Florida Avenue",,,,Urbana,Champaign,IL,61802,231
6325,,,"313 S. Prospect Avenue",,,,Champaign,Champaign,IL,61820,231
6326,,,"208 W. John Street",,,,Champaign,Champaign,IL,61820,231
6327,,,"1311 W. Church Street",,,,Champaign,Champaign,IL,61821,231
6328,,,"405 W. Clark Street",,,,Champaign,Champaign,IL,61820,231
6329,,,"306 W. Griggs Street",,,,Urbana,Champaign,IL,618012676,231
6330,,,"801 N. Country Fair Drive",,,,Champaign,Champaign,IL,61825,231
6331,,,"82 E. University Avenue",,,,Champaign,Champaign,IL,61820,231
6332,,,"No Street Address Available",,,,Mahomet,Champaign,IL,61853,231
6333,,,"213 N. Central Avenue",,,,Urbana,Champaign,IL,61801,231
6334,,,"102 E. Main Street, Suite 207",,,,Urbana,Champaign,IL,61801,231
6335,,,"No Street Address Available",,,,Champaign,Champaign,IL,61820,231
6336,,,"403 S. Wright Street",,,,Champaign,Champaign,IL,61820,231
6337,,,"2400 W. Bradley Avenue",,,,Champaign,Champaign,IL,618211899,231
6338,,,"505 E. Green Street, 3rd Floor",,,,Champaign,Champaign,IL,61820,231
6339,,,"3011A Village Office Place",,,,Champaign,Champaign,IL,61822,231
6340,,,"1213 Parkland Court",,,,Champaign,Champaign,IL,61821,231
6341,,,"201 W. Kenyon Road",,,,Champaign,Champaign,IL,61820,231
6342,,,"1819 South Philo Drive",,,,Urbana,Champaign,IL,61802,231
6343,,,"708 W. Main Street",,,,Urbana,Champaign,IL,61801,231
6344,,,"1805 S. Cottage Grove Avenue",,,,Urbana,Champaign,IL,61801,231
6345,,,"610 E. John Street",,,,Champaign,Champaign,IL,61820,231
6346,,,"505 W. Stoughton Street",,,,Urbana,Champaign,IL,61801,231
6347,,,"5 Dunlap Court",,,,Savoy,Champaign,IL,61874,231
6348,,,"801 N. Country Fair Drive, Suite D",,,,Champaign,Champaign,IL,61821,231
6349,,,"211 N. Race Street",,,,Urbana,Champaign,IL,61801,231
6350,,,"202 S. Broadway",,,,Urbana,Champaign,IL,61801,231
6351,,,"400 S. Vine Street",,,,Urbana,Champaign,IL,61801,231
6352,,,"210 W. Green Street",,,,Urbana,Champaign,IL,61801,231
6353,,,"400 S. Vine Street",,,,Urbana,Champaign,IL,61801,231
6354,,,"205 N. Race Street",,,,Urbana,Champaign,IL,618013039,231
6355,,,"2312 E. Perkins Road",,,,Urbana,Champaign,IL,61802,231
6356,,,"611 W. Park Street",,,,Urbana,Champaign,IL,61801,231
6357,,,"1701 W. Curtis Road",,,,Champaign,Champaign,IL,61822,231
6358,,,"1818 E. Windsor Road",,,,Urbana,Champaign,IL,61802,231
6359,,,"1813 W. Kirby Avenue",,,,Champaign,Champaign,IL,61821,231
6360,,,"206 W. Anthony Drive, Suite A",,,,Champaign,Champaign,IL,61822,231
6361,,,"805 W. Park Street",,,,Urbana,Champaign,IL,61801,231
6362,,,"1315A Curt Drive",,,,Champaign,Champaign,IL,61821,231
6363,,,"301 S. Vine Street, Suite 210",,,,Urbana,Champaign,IL,61801,231
6364,,,"44 E. Main Street, Suite 208",,,,Champaign,Champaign,IL,61820,231
6365,,,"251 E. Northwest Highway",,,,Palatine,Cook,IL,60067,231
6366,,,"1776 E. Washington Street",,,,Urbana,Champaign,IL,61802,231
6367,,,"1776 E. Washington Street",,,,Urbana,Champaign,IL,61802,231
6368,,,"200 W. Green Street",,,,Champaign,Champaign,IL,61820,231
6369,,,"504 E. Grove Street",,,,Champaign,Champaign,IL,61820,231
6370,,,"1307 N. Mattis Avenue",,,,Champaign,Champaign,IL,61821,231
6371,,,"609 W. Washington Street",,,,Champaign,Champaign,IL,61820,231
6372,,,"70 E. Washington",,,,Champaign,Champaign,IL,61820,231
6373,,,"205 W. Green Street",,,,Urbana,Champaign,IL,61801,231
6374,,,"520 E. Wabash Avenue, Suite 1",,,,Rantoul,Champaign,IL,61866,231
6375,,,"310 W. Church Street, Suite 103",,,,Champaign,Champaign,IL,61820,231
6376,,,"2011 Round Barn Road",,,,Champaign,Champaign,IL,61821,231
6377,,,"2408 Cherry Hills Drive",,,,Champaign,Champaign,IL,61820,231
6378,,,"700 W. Main Street",,,,Mahomet,Champaign,IL,61853,231
6379,,,"807 N. Mattis Avenue",,,,Champaign,Champaign,IL,61821,231
6380,,,"1002 S. Race Street",,,,Urbana,Champaign,IL,61801,231
6381,,,"2501 Fields South Drive",,,,Champaign,Champaign,IL,61822,231
6382,,,"1203 W. Green Street",,,,Urbana,Champaign,IL,61801,231
6383,,,"819 Bloomington Road",,,,Champaign,Champaign,IL,61820,231
6384,,,"819 Bloomington Road",,,,Champaign,Champaign,IL,61820,231
